Timestamp,Initial seed,Algorithm,Nb. rows,Nb. columns,Density,Runtime,Communication cost
2023-05-24 15:38:55.058775,"[1486341340, 1486341340, 1486341340]",Dense sharing,10,1,0.0001,0.001286,1200
2023-05-24 15:38:55.060442,"[1486341340, 1486341340, 1486341340]",Dense,10,1,0.0001,0.001191,372
2023-05-24 15:38:55.731988,"[1486341340, 1486341340, 1486341340]",Sparse sharing,10,1,0.0001,0.000122,0
2023-05-24 15:38:55.732603,"[1486341340, 1486341340, 1486341340]",Sparse,10,1,0.0001,0.000484,26
2023-05-24 15:38:56.423003,"[1228962651, 1228962651, 1228962651]",Dense sharing,10,1,0.001,0.00144,1200
2023-05-24 15:38:56.424913,"[1228962651, 1228962651, 1228962651]",Dense,10,1,0.001,0.001296,372
2023-05-24 15:38:57.036191,"[1228962651, 1228962651, 1228962651]",Sparse sharing,10,1,0.001,0.000174,0
2023-05-24 15:38:57.036727,"[1228962651, 1228962651, 1228962651]",Sparse,10,1,0.001,0.000401,26
2023-05-24 15:38:57.666610,"[1363957683, 1363957683, 1363957683]",Dense sharing,10,1,0.005,0.00196,1200
2023-05-24 15:38:57.669046,"[1363957683, 1363957683, 1363957683]",Dense,10,1,0.005,0.001678,372
2023-05-24 15:38:58.298431,"[1363957683, 1363957683, 1363957683]",Sparse sharing,10,1,0.005,0.000124,0
2023-05-24 15:38:58.298901,"[1363957683, 1363957683, 1363957683]",Sparse,10,1,0.005,0.000396,26
2023-05-24 15:38:58.939847,"[1246950452, 1246950452, 1246950452]",Dense sharing,10,1,0.01,0.001302,1200
2023-05-24 15:38:58.941483,"[1246950452, 1246950452, 1246950452]",Dense,10,1,0.01,0.001183,372
2023-05-24 15:38:59.573178,"[1246950452, 1246950452, 1246950452]",Sparse sharing,10,1,0.01,0.000165,0
2023-05-24 15:38:59.573706,"[1246950452, 1246950452, 1246950452]",Sparse,10,1,0.01,0.000374,26
2023-05-24 15:39:00.261705,"[2311075880, 2311075880, 2311075880]",Dense sharing,30,1,0.0001,0.002351,2318
2023-05-24 15:39:00.264531,"[2311075880, 2311075880, 2311075880]",Dense,30,1,0.0001,0.001733,372
2023-05-24 15:39:00.915438,"[2311075880, 2311075880, 2311075880]",Sparse sharing,30,1,0.0001,0.000116,0
2023-05-24 15:39:00.915890,"[2311075880, 2311075880, 2311075880]",Sparse,30,1,0.0001,0.000397,26
2023-05-24 15:39:01.629950,"[2345664438, 2345664438, 2345664438]",Dense sharing,30,1,0.001,0.002353,2320
2023-05-24 15:39:01.632778,"[2345664438, 2345664438, 2345664438]",Dense,30,1,0.001,0.001646,372
2023-05-24 15:39:02.285574,"[2345664438, 2345664438, 2345664438]",Sparse sharing,30,1,0.001,0.00015,0
2023-05-24 15:39:02.286210,"[2345664438, 2345664438, 2345664438]",Sparse,30,1,0.001,0.000457,26
2023-05-24 15:39:02.936346,"[80740328, 80740328, 80740328]",Dense sharing,30,1,0.005,0.002476,2318
2023-05-24 15:39:02.939344,"[80740328, 80740328, 80740328]",Dense,30,1,0.005,0.001713,372
2023-05-24 15:39:03.587822,"[80740328, 80740328, 80740328]",Sparse sharing,30,1,0.005,0.000131,0
2023-05-24 15:39:03.588305,"[80740328, 80740328, 80740328]",Sparse,30,1,0.005,0.000403,26
2023-05-24 15:39:04.231747,"[1157103124, 1157103124, 1157103124]",Dense sharing,30,1,0.01,0.001513,2320
2023-05-24 15:39:04.233617,"[1157103124, 1157103124, 1157103124]",Dense,30,1,0.01,0.001185,372
2023-05-24 15:39:04.935326,"[1157103124, 1157103124, 1157103124]",Sparse sharing,30,1,0.01,0.000165,0
2023-05-24 15:39:04.936001,"[1157103124, 1157103124, 1157103124]",Sparse,30,1,0.01,0.000554,26
2023-05-24 15:39:05.573209,"[607852865, 607852865, 607852865]",Dense sharing,50,1,0.0001,0.001805,3439
2023-05-24 15:39:05.575385,"[607852865, 607852865, 607852865]",Dense,50,1,0.0001,0.001532,372
2023-05-24 15:39:06.214181,"[607852865, 607852865, 607852865]",Sparse sharing,50,1,0.0001,0.000123,0
2023-05-24 15:39:06.214733,"[607852865, 607852865, 607852865]",Sparse,50,1,0.0001,0.000474,26
2023-05-24 15:39:06.847989,"[2376171653, 2376171653, 2376171653]",Dense sharing,50,1,0.001,0.002618,3439
2023-05-24 15:39:06.851065,"[2376171653, 2376171653, 2376171653]",Dense,50,1,0.001,0.001745,372
2023-05-24 15:39:07.475030,"[2376171653, 2376171653, 2376171653]",Sparse sharing,50,1,0.001,0.000155,0
2023-05-24 15:39:07.475720,"[2376171653, 2376171653, 2376171653]",Sparse,50,1,0.001,0.000528,26
2023-05-24 15:39:08.123093,"[1789899462, 1789899462, 1789899462]",Dense sharing,50,1,0.005,0.001859,3439
2023-05-24 15:39:08.125400,"[1789899462, 1789899462, 1789899462]",Dense,50,1,0.005,0.001681,372
2023-05-24 15:39:08.841280,"[1789899462, 1789899462, 1789899462]",Sparse sharing,50,1,0.005,0.000158,0
2023-05-24 15:39:08.841859,"[1789899462, 1789899462, 1789899462]",Sparse,50,1,0.005,0.000571,26
2023-05-24 15:39:09.551311,"[3526080530, 3526080530, 3526080530]",Dense sharing,50,1,0.01,0.001765,3440
2023-05-24 15:39:09.553426,"[3526080530, 3526080530, 3526080530]",Dense,50,1,0.01,0.001197,372
2023-05-24 15:39:10.187369,"[3526080530, 3526080530, 3526080530]",Sparse sharing,50,1,0.01,0.000112,0
2023-05-24 15:39:10.187863,"[3526080530, 3526080530, 3526080530]",Sparse,50,1,0.01,0.000384,26
2023-05-24 15:39:10.800958,"[3217693741, 3217693741, 3217693741]",Dense sharing,70,1,0.0001,0.002159,4559
2023-05-24 15:39:10.803495,"[3217693741, 3217693741, 3217693741]",Dense,70,1,0.0001,0.001222,372
2023-05-24 15:39:11.524718,"[3217693741, 3217693741, 3217693741]",Sparse sharing,70,1,0.0001,0.000137,0
2023-05-24 15:39:11.525387,"[3217693741, 3217693741, 3217693741]",Sparse,70,1,0.0001,0.000561,26
2023-05-24 15:39:12.166811,"[2252540683, 2252540683, 2252540683]",Dense sharing,70,1,0.001,0.002205,4559
2023-05-24 15:39:12.169464,"[2252540683, 2252540683, 2252540683]",Dense,70,1,0.001,0.001276,372
2023-05-24 15:39:12.798335,"[2252540683, 2252540683, 2252540683]",Sparse sharing,70,1,0.001,0.00012,0
2023-05-24 15:39:12.798809,"[2252540683, 2252540683, 2252540683]",Sparse,70,1,0.001,0.000391,26
2023-05-24 15:39:13.441573,"[759296115, 759296115, 759296115]",Dense sharing,70,1,0.005,0.002198,4555
2023-05-24 15:39:13.444132,"[759296115, 759296115, 759296115]",Dense,70,1,0.005,0.001353,372
2023-05-24 15:39:14.126733,"[759296115, 759296115, 759296115]",Sparse sharing,70,1,0.005,0.00012,0
2023-05-24 15:39:14.127249,"[759296115, 759296115, 759296115]",Sparse,70,1,0.005,0.000455,26
2023-05-24 15:39:14.820746,"[838757935, 838757935, 838757935]",Dense sharing,70,1,0.01,0.002335,4559
2023-05-24 15:39:14.823454,"[838757935, 838757935, 838757935]",Dense,70,1,0.01,0.001418,372
2023-05-24 15:39:15.467423,"[838757935, 838757935, 838757935]",Sparse sharing,70,1,0.01,0.002379,1296
2023-05-24 15:39:15.470270,"[838757935, 838757935, 838757935]",Sparse,70,1,0.01,0.080152,33352
2023-05-24 15:39:16.176456,"[1473825940, 1473825940, 1473825940]",Dense sharing,90,1,0.0001,0.003373,5679
2023-05-24 15:39:16.180285,"[1473825940, 1473825940, 1473825940]",Dense,90,1,0.0001,0.001722,372
2023-05-24 15:39:16.824342,"[1473825940, 1473825940, 1473825940]",Sparse sharing,90,1,0.0001,0.000113,0
2023-05-24 15:39:16.824866,"[1473825940, 1473825940, 1473825940]",Sparse,90,1,0.0001,0.000463,26
2023-05-24 15:39:17.512014,"[3397185744, 3397185744, 3397185744]",Dense sharing,90,1,0.001,0.002305,5678
2023-05-24 15:39:17.514693,"[3397185744, 3397185744, 3397185744]",Dense,90,1,0.001,0.001334,372
2023-05-24 15:39:18.157401,"[3397185744, 3397185744, 3397185744]",Sparse sharing,90,1,0.001,0.000114,0
2023-05-24 15:39:18.157895,"[3397185744, 3397185744, 3397185744]",Sparse,90,1,0.001,0.000436,26
2023-05-24 15:39:18.803630,"[3833472447, 3833472447, 3833472447]",Dense sharing,90,1,0.005,0.003708,5678
2023-05-24 15:39:18.807858,"[3833472447, 3833472447, 3833472447]",Dense,90,1,0.005,0.001772,372
2023-05-24 15:39:19.439305,"[3833472447, 3833472447, 3833472447]",Sparse sharing,90,1,0.005,0.000111,0
2023-05-24 15:39:19.439761,"[3833472447, 3833472447, 3833472447]",Sparse,90,1,0.005,0.000435,26
2023-05-24 15:39:20.053027,"[922801664, 922801664, 922801664]",Dense sharing,90,1,0.01,0.002424,5680
2023-05-24 15:39:20.055827,"[922801664, 922801664, 922801664]",Dense,90,1,0.01,0.001276,372
2023-05-24 15:39:20.723117,"[922801664, 922801664, 922801664]",Sparse sharing,90,1,0.01,0.001682,1296
2023-05-24 15:39:20.725131,"[922801664, 922801664, 922801664]",Sparse,90,1,0.01,0.058818,33355
2023-05-24 15:39:21.469207,"[2074757021, 2074757021, 2074757021]",Dense sharing,100,1,0.0001,0.002331,6238
2023-05-24 15:39:21.471912,"[2074757021, 2074757021, 2074757021]",Dense,100,1,0.0001,0.001856,372
2023-05-24 15:39:22.083945,"[2074757021, 2074757021, 2074757021]",Sparse sharing,100,1,0.0001,0.000144,0
2023-05-24 15:39:22.084477,"[2074757021, 2074757021, 2074757021]",Sparse,100,1,0.0001,0.000534,26
2023-05-24 15:39:22.733328,"[3759518672, 3759518672, 3759518672]",Dense sharing,100,1,0.001,0.002394,6237
2023-05-24 15:39:22.736079,"[3759518672, 3759518672, 3759518672]",Dense,100,1,0.001,0.001368,372
2023-05-24 15:39:23.383080,"[3759518672, 3759518672, 3759518672]",Sparse sharing,100,1,0.001,0.000126,0
2023-05-24 15:39:23.383557,"[3759518672, 3759518672, 3759518672]",Sparse,100,1,0.001,0.000392,26
2023-05-24 15:39:24.113251,"[528269663, 528269663, 528269663]",Dense sharing,100,1,0.005,0.002497,6238
2023-05-24 15:39:24.116095,"[528269663, 528269663, 528269663]",Dense,100,1,0.005,0.001292,372
2023-05-24 15:39:24.751669,"[528269663, 528269663, 528269663]",Sparse sharing,100,1,0.005,0.000169,0
2023-05-24 15:39:24.752238,"[528269663, 528269663, 528269663]",Sparse,100,1,0.005,0.00038,26
2023-05-24 15:39:25.440685,"[316354158, 316354158, 316354158]",Dense sharing,100,1,0.01,0.002531,6239
2023-05-24 15:39:25.443579,"[316354158, 316354158, 316354158]",Dense,100,1,0.01,0.001576,372
2023-05-24 15:39:26.168328,"[316354158, 316354158, 316354158]",Sparse sharing,100,1,0.01,0.001694,1296
2023-05-24 15:39:26.170367,"[316354158, 316354158, 316354158]",Sparse,100,1,0.01,0.060883,33354
2023-05-24 15:39:26.930674,"[989074140, 989074140, 989074140]",Dense sharing,300,1,0.0001,0.008251,17441
2023-05-24 15:39:26.939430,"[989074140, 989074140, 989074140]",Dense,300,1,0.0001,0.001681,372
2023-05-24 15:39:27.587281,"[989074140, 989074140, 989074140]",Sparse sharing,300,1,0.0001,0.000196,0
2023-05-24 15:39:27.588021,"[989074140, 989074140, 989074140]",Sparse,300,1,0.0001,0.000563,26
2023-05-24 15:39:28.238795,"[2065089141, 2065089141, 2065089141]",Dense sharing,300,1,0.001,0.004592,17440
2023-05-24 15:39:28.243724,"[2065089141, 2065089141, 2065089141]",Dense,300,1,0.001,0.001412,372
2023-05-24 15:39:28.881079,"[2065089141, 2065089141, 2065089141]",Sparse sharing,300,1,0.001,0.000145,0
2023-05-24 15:39:28.881580,"[2065089141, 2065089141, 2065089141]",Sparse,300,1,0.001,0.000459,26
2023-05-24 15:39:29.632584,"[3738184559, 3738184559, 3738184559]",Dense sharing,300,1,0.005,0.004704,17439
2023-05-24 15:39:29.637637,"[3738184559, 3738184559, 3738184559]",Dense,300,1,0.005,0.001253,372
2023-05-24 15:39:30.281524,"[3738184559, 3738184559, 3738184559]",Sparse sharing,300,1,0.005,0.002015,2116
2023-05-24 15:39:30.283915,"[3738184559, 3738184559, 3738184559]",Sparse,300,1,0.005,0.079107,58350
2023-05-24 15:39:31.053228,"[1352611134, 1352611134, 1352611134]",Dense sharing,300,1,0.01,0.004668,17433
2023-05-24 15:39:31.058268,"[1352611134, 1352611134, 1352611134]",Dense,300,1,0.01,0.001211,372
2023-05-24 15:39:31.753962,"[1352611134, 1352611134, 1352611134]",Sparse sharing,300,1,0.01,0.002099,2832
2023-05-24 15:39:31.756428,"[1352611134, 1352611134, 1352611134]",Sparse,300,1,0.01,0.085677,75714
2023-05-24 15:39:32.477304,"[3977484203, 3977484203, 3977484203]",Dense sharing,500,1,0.0001,0.00678,28635
2023-05-24 15:39:32.484438,"[3977484203, 3977484203, 3977484203]",Dense,500,1,0.0001,0.001276,372
2023-05-24 15:39:33.187674,"[3977484203, 3977484203, 3977484203]",Sparse sharing,500,1,0.0001,0.000128,0
2023-05-24 15:39:33.188208,"[3977484203, 3977484203, 3977484203]",Sparse,500,1,0.0001,0.000464,26
2023-05-24 15:39:33.903707,"[3121471085, 3121471085, 3121471085]",Dense sharing,500,1,0.001,0.006767,28626
