Timestamp,Initial seed,Algorithm,Nb. rows,Nb. columns,Density,Runtime,Communication cost
2023-05-08 12:17:57.872388,"[1486341340, 1486341340, 1486341340]",Dense sharing,100,100,0.001,0.119331,560646
2023-05-08 12:17:57.992176,"[1486341340, 1486341340, 1486341340]",Dense,100,100,0.001,0.187927,280315
2023-05-08 12:17:59.504290,"[1486341340, 1486341340, 1486341340]",Sparse sharing,100,100,0.001,0.008244,10798
2023-05-08 12:17:59.512875,"[1486341340, 1486341340, 1486341340]",Sparse,100,100,0.001,0.188094,224924
2023-05-08 12:18:00.433553,"[1486341340, 1486341340, 1486341340]",Sparse sharing,100,100,0.005,0.033741,50794
2023-05-08 12:18:00.467708,"[1486341340, 1486341340, 1486341340]",Sparse,100,100,0.005,0.590913,1158352
2023-05-08 12:18:01.696246,"[1486341340, 1486341340, 1486341340]",Sparse sharing,100,100,0.01,0.05544,93266
2023-05-08 12:18:01.752095,"[1486341340, 1486341340, 1486341340]",Sparse,100,100,0.01,1.209157,2829760
2023-05-08 12:18:03.690501,"[1228962651, 1228962651, 1228962651]",Dense sharing,100,300,0.001,0.335306,1680592
2023-05-08 12:18:04.026384,"[1228962651, 1228962651, 1228962651]",Dense,100,300,0.001,1.318853,2520283
2023-05-08 12:18:06.041511,"[1228962651, 1228962651, 1228962651]",Sparse sharing,100,300,0.0001,0.003166,3765
2023-05-08 12:18:06.045030,"[1228962651, 1228962651, 1228962651]",Sparse,100,300,0.0001,0.15353,102102
2023-05-08 12:18:06.825148,"[1228962651, 1228962651, 1228962651]",Sparse sharing,100,300,0.001,0.023021,35116
2023-05-08 12:18:06.848539,"[1228962651, 1228962651, 1228962651]",Sparse,100,300,0.001,0.44263,730491
2023-05-08 12:18:07.910723,"[1228962651, 1228962651, 1228962651]",Sparse sharing,100,300,0.005,0.085668,144215
2023-05-08 12:18:07.996786,"[1228962651, 1228962651, 1228962651]",Sparse,100,300,0.005,2.657842,6072253
2023-05-08 12:18:11.358782,"[1228962651, 1228962651, 1228962651]",Sparse sharing,100,300,0.01,0.135867,244919
2023-05-08 12:18:11.495095,"[1228962651, 1228962651, 1228962651]",Sparse,100,300,0.01,9.315925,21586909
2023-05-08 12:18:21.542020,"[1363957683, 1363957683, 1363957683]",Dense sharing,100,500,0.001,0.566628,2800615
2023-05-08 12:18:22.109260,"[1363957683, 1363957683, 1363957683]",Dense,100,500,0.001,3.914197,7000359
2023-05-08 12:18:26.852641,"[1363957683, 1363957683, 1363957683]",Sparse sharing,100,500,0.0001,0.004858,6280
2023-05-08 12:18:26.858033,"[1363957683, 1363957683, 1363957683]",Sparse,100,500,0.0001,0.175484,138217
2023-05-08 12:18:27.666438,"[1363957683, 1363957683, 1363957683]",Sparse sharing,100,500,0.001,0.033775,54471
2023-05-08 12:18:27.700655,"[1363957683, 1363957683, 1363957683]",Sparse,100,500,0.001,0.779822,1550194
2023-05-08 12:18:29.199997,"[1363957683, 1363957683, 1363957683]",Sparse sharing,100,500,0.005,0.115705,214117
2023-05-08 12:18:29.316199,"[1363957683, 1363957683, 1363957683]",Sparse,100,500,0.005,6.720016,15304472
2023-05-08 12:18:36.673169,"[1363957683, 1363957683, 1363957683]",Sparse sharing,100,500,0.01,0.147578,371907
2023-05-08 12:18:36.821318,"[1363957683, 1363957683, 1363957683]",Sparse,100,500,0.01,23.878976,53250991
2023-05-08 12:19:01.341024,"[1246950452, 1246950452, 1246950452]",Dense sharing,100,700,0.001,0.821435,3920619
2023-05-08 12:19:02.163290,"[1246950452, 1246950452, 1246950452]",Dense,100,700,0.001,7.898384,13720296
2023-05-08 12:19:11.065667,"[1246950452, 1246950452, 1246950452]",Sparse sharing,100,700,0.0001,0.010742,9184
2023-05-08 12:19:11.076902,"[1246950452, 1246950452, 1246950452]",Sparse,100,700,0.0001,0.216067,187886
2023-05-08 12:19:11.933470,"[1246950452, 1246950452, 1246950452]",Sparse sharing,100,700,0.001,0.048048,81588
2023-05-08 12:19:11.981953,"[1246950452, 1246950452, 1246950452]",Sparse,100,700,0.001,1.029879,2151762
2023-05-08 12:19:13.643714,"[1246950452, 1246950452, 1246950452]",Sparse sharing,100,700,0.005,0.131296,296555
2023-05-08 12:19:13.775530,"[1246950452, 1246950452, 1246950452]",Sparse,100,700,0.005,12.573299,28883938
2023-05-08 12:19:27.066407,"[1246950452, 1246950452, 1246950452]",Sparse sharing,100,700,0.01,0.184709,533628
2023-05-08 12:19:27.251593,"[1246950452, 1246950452, 1246950452]",Sparse,100,700,0.01,51.422447,106436371
2023-05-08 12:20:19.406416,"[2311075880, 2311075880, 2311075880]",Dense sharing,100,900,0.001,1.065772,5040589
2023-05-08 12:20:20.473053,"[2311075880, 2311075880, 2311075880]",Dense,100,900,0.001,13.673776,22680301
2023-05-08 12:20:35.402284,"[2311075880, 2311075880, 2311075880]",Sparse sharing,100,900,0.0001,0.007661,11168
2023-05-08 12:20:35.410421,"[2311075880, 2311075880, 2311075880]",Sparse,100,900,0.0001,0.231752,263888
2023-05-08 12:20:36.266092,"[2311075880, 2311075880, 2311075880]",Sparse sharing,100,900,0.001,0.056023,100154
