Algorithm,Nb. rows,Nb. columns,Density,Memory overflow,Runtime,Communication cost
Sparse sharing,100,100,0.001,False,0.011923,2080
Sparse w/ Quicksort,100,100,0.001,False,0.25388,186684
Sparse sharing,100,200,0.001,False,0.024062,4160
Sparse w/ Quicksort,100,200,0.001,False,0.480295,523457
Sparse sharing,100,300,0.001,False,0.024373,6240
Sparse w/ Quicksort,100,300,0.001,False,0.734449,1158559
Sparse sharing,100,400,0.001,False,0.051877,8320
Sparse w/ Quicksort,100,400,0.001,False,0.754959,1475874
Sparse sharing,100,500,0.001,False,0.037311,10400
Sparse w/ Quicksort,100,500,0.001,False,0.860267,1944993
Sparse sharing,100,600,0.001,False,0.051127,12480
Sparse w/ Quicksort,100,600,0.001,False,1.016814,2237005
Sparse sharing,100,700,0.001,False,0.057102,14560
Sparse w/ Quicksort,100,700,0.001,False,1.992205,3887249
Sparse sharing,100,800,0.001,False,0.062805,16640
Sparse w/ Quicksort,100,800,0.001,False,1.711972,4351584
Sparse sharing,100,900,0.001,False,0.065881,18720
Sparse w/ Quicksort,100,900,0.001,False,1.889291,4978977
Sparse sharing,100,1000,0.001,False,0.076548,20800
Sparse w/ Quicksort,100,1000,0.001,False,2.435027,6604753
Sparse sharing,100,2000,0.001,False,0.13237,41600
Sparse w/ Quicksort,100,2000,0.001,False,8.746212,24182960
Sparse sharing,100,3000,0.001,False,0.226698,62400
Sparse w/ Quicksort,100,3000,0.001,False,19.565281,55265163
Sparse sharing,100,4000,0.001,False,0.255946,83200
Sparse w/ Quicksort,100,4000,0.001,False,33.458373,96523534
Sparse sharing,100,5000,0.001,False,0.307904,104000
Sparse w/ Quicksort,100,5000,0.001,False,57.102015,153064945
Sparse sharing,100,6000,0.001,False,0.35933,124800
Sparse w/ Quicksort,100,6000,0.001,False,90.497332,254946829
Sparse sharing,100,7000,0.001,False,0.414085,145600
Sparse w/ Quicksort,100,7000,0.001,False,122.749246,320942719
Sparse sharing,100,8000,0.001,False,0.542885,166400
Sparse w/ Quicksort,100,8000,0.001,False,176.941419,445861138
Sparse sharing,100,9000,0.001,False,0.638358,187200
Sparse w/ Quicksort,100,9000,0.001,False,245.503093,535140898
