Timestamp,Initial seed,Algorithm,Nb. rows,Nb. columns,Density,Runtime,Communication cost
2023-05-03 14:40:48.399042,"[1486341340, 1486341340, 1486341340]",Dense sharing,1000,100,0.001,1.200375,5600639
2023-05-03 14:40:49.600267,"[1486341340, 1486341340, 1486341340]",Dense,1000,100,0.001,1.601043,280315
2023-05-03 14:40:51.846663,"[1486341340, 1486341340, 1486341340]",Sparse sharing,1000,100,0.001,0.073732,109907
2023-05-03 14:40:51.920796,"[1486341340, 1486341340, 1486341340]",Sparse,1000,100,0.001,0.855485,1821753
2023-05-03 14:40:53.470487,"[1486341340, 1486341340, 1486341340]",Sparse sharing,1000,100,0.005,0.351209,505383
2023-05-03 14:40:53.822263,"[1486341340, 1486341340, 1486341340]",Sparse,1000,100,0.005,5.12849,11678707
2023-05-03 14:40:59.592430,"[1486341340, 1486341340, 1486341340]",Sparse sharing,1000,100,0.01,0.588072,920480
2023-05-03 14:41:00.181140,"[1486341340, 1486341340, 1486341340]",Sparse,1000,100,0.01,13.431676,30019380
2023-05-03 14:41:14.310395,"[1228962651, 1228962651, 1228962651]",Dense sharing,1000,300,0.001,3.680507,16800522
2023-05-03 14:41:18.094094,"[1228962651, 1228962651, 1228962651]",Dense,1000,300,0.001,16.271355,2520300
2023-05-03 14:41:35.157912,"[1228962651, 1228962651, 1228962651]",Sparse sharing,1000,300,0.001,0.233196,349220
2023-05-03 14:41:35.391695,"[1228962651, 1228962651, 1228962651]",Sparse,1000,300,0.001,3.34864,7263767
2023-05-03 14:41:39.446605,"[1228962651, 1228962651, 1228962651]",Sparse sharing,1000,300,0.005,0.750025,1412034
2023-05-03 14:41:40.197354,"[1228962651, 1228962651, 1228962651]",Sparse,1000,300,0.005,33.568742,69186990
2023-05-03 14:42:14.478354,"[1228962651, 1228962651, 1228962651]",Sparse sharing,1000,300,0.01,1.120868,2459364
2023-05-03 14:42:15.600146,"[1228962651, 1228962651, 1228962651]",Sparse,1000,300,0.01,110.952731,211446900
2023-05-03 14:44:07.212333,"[1363957683, 1363957683, 1363957683]",Dense sharing,1000,500,0.001,6.037625,28000581
2023-05-03 14:44:13.443537,"[1363957683, 1363957683, 1363957683]",Dense,1000,500,0.001,45.521709,7000309
2023-05-03 14:44:59.814759,"[1363957683, 1363957683, 1363957683]",Sparse sharing,1000,500,0.001,0.443407,574142
2023-05-03 14:45:00.258742,"[1363957683, 1363957683, 1363957683]",Sparse,1000,500,0.001,5.771247,12425581
2023-05-03 14:45:06.772364,"[1363957683, 1363957683, 1363957683]",Sparse sharing,1000,500,0.005,1.124884,2127694
2023-05-03 14:45:07.898261,"[1363957683, 1363957683, 1363957683]",Sparse,1000,500,0.005,79.626654,153256508
2023-05-03 14:46:28.283608,"[1363957683, 1363957683, 1363957683]",Sparse sharing,1000,500,0.01,1.4731,3715278
2023-05-03 14:46:29.757714,"[1363957683, 1363957683, 1363957683]",Sparse,1000,500,0.01,281.237716,527232137
2023-05-03 14:51:11.676849,"[1246950452, 1246950452, 1246950452]",Dense sharing,1000,700,0.001,8.444318,39200621
2023-05-03 14:51:20.364612,"[1246950452, 1246950452, 1246950452]",Dense,1000,700,0.001,86.393269,13720317
2023-05-03 14:52:47.835281,"[1246950452, 1246950452, 1246950452]",Sparse sharing,1000,700,0.001,0.470996,783848
2023-05-03 14:52:48.306907,"[1246950452, 1246950452, 1246950452]",Sparse,1000,700,0.001,10.972858,23559642
2023-05-03 14:52:59.923844,"[1246950452, 1246950452, 1246950452]",Sparse sharing,1000,700,0.005,1.236384,2973446
2023-05-03 14:53:01.162266,"[1246950452, 1246950452, 1246950452]",Sparse,1000,700,0.005,162.416771,301442696
2023-05-03 14:55:44.417667,"[1246950452, 1246950452, 1246950452]",Sparse sharing,1000,700,0.01,1.886046,5342674
2023-05-03 14:55:46.304676,"[1246950452, 1246950452, 1246950452]",Sparse,1000,700,0.01,601.346006,1061477602
2023-05-03 15:05:48.644265,"[2311075880, 2311075880, 2311075880]",Dense sharing,1000,900,0.001,11.021292,50400602
2023-05-03 15:05:59.977941,"[2311075880, 2311075880, 2311075880]",Dense,1000,900,0.001,142.843191,22680443
2023-05-03 15:08:24.661040,"[2311075880, 2311075880, 2311075880]",Sparse sharing,1000,900,0.001,0.58468,990517
2023-05-03 15:08:25.246339,"[2311075880, 2311075880, 2311075880]",Sparse,1000,900,0.001,15.464678,32641880
2023-05-03 15:08:41.446157,"[2311075880, 2311075880, 2311075880]",Sparse sharing,1000,900,0.005,1.487804,3655400
2023-05-03 15:08:42.935026,"[2311075880, 2311075880, 2311075880]",Sparse,1000,900,0.005,251.607783,462908033
2023-05-03 15:12:55.231017,"[2311075880, 2311075880, 2311075880]",Sparse sharing,1000,900,0.01,2.34772,6686291
2023-05-03 15:12:57.579882,"[2311075880, 2311075880, 2311075880]",Sparse,1000,900,0.01,960.793651,1691649087
2023-05-03 15:28:59.149302,"[2345664438, 2345664438, 2345664438]",Dense sharing,1000,1000,0.001,12.070367,56000596
