Algorithm,Nb. rows,Nb. columns,Density,Memory overflow,Runtime,Communication cost
Dense sharing,100,100,0.001,False,0.300513,560642
Dense,100,100,0.001,False,0.317172,280318
Sparse sharing,100,100,0.001,False,0.009936,2080
Sparse w/ Quicksort,100,100,0.001,False,0.18177,169939
Dense sharing,100,200,0.001,False,0.389992,1120625
Dense,100,200,0.001,False,0.86517,1120286
Sparse sharing,100,200,0.001,False,0.0202,4160
Sparse w/ Quicksort,100,200,0.001,False,0.351052,418524
Dense sharing,100,300,0.001,False,0.551872,1680652
Dense,100,300,0.001,False,2.01694,2520341
Sparse sharing,100,300,0.001,False,0.030366,6240
Sparse w/ Quicksort,100,300,0.001,False,0.506818,864537
Dense sharing,100,400,0.001,False,0.719873,2240580
Dense,100,400,0.001,False,3.624159,4480335
Sparse sharing,100,400,0.001,False,0.042321,8320
Sparse w/ Quicksort,100,400,0.001,False,0.75824,1725869
Dense sharing,100,500,0.001,False,0.874136,2800598
Dense,100,500,0.001,False,5.588414,7000304
Sparse sharing,100,500,0.001,False,0.050927,10400
Sparse w/ Quicksort,100,500,0.001,False,0.884584,1880773
Dense sharing,100,600,0.001,False,1.111159,3360603
Dense,100,600,0.001,False,8.484362,10080229
Sparse sharing,100,600,0.001,False,0.059723,12480
Sparse w/ Quicksort,100,600,0.001,False,1.077252,2651984
Dense sharing,100,700,0.001,False,1.33916,3920547
Dense,100,700,0.001,False,12.492466,13720248
Sparse sharing,100,700,0.001,False,0.066721,14560
Sparse w/ Quicksort,100,700,0.001,False,1.926047,3440385
Dense sharing,100,800,0.001,False,1.451909,4480658
Dense,100,800,0.001,False,18.832502,17920306
Sparse sharing,100,800,0.001,False,0.08676,16640
Sparse w/ Quicksort,100,800,0.001,False,1.889454,3747446
Dense sharing,100,900,0.001,False,1.703169,5040627
Dense,100,900,0.001,False,24.281114,22680436
Sparse sharing,100,900,0.001,False,0.119291,18720
Sparse w/ Quicksort,100,900,0.001,False,4.181371,7530119
Dense sharing,100,1000,0.001,False,1.750367,5600644
Dense,100,1000,0.001,False,30.971778,28000349
Sparse sharing,100,1000,0.001,False,0.129477,20800
Sparse w/ Quicksort,100,1000,0.001,False,2.677652,6052569
Dense sharing,100,2000,0.001,False,3.768053,11200701
Dense,100,2000,0.001,False,112.005845,112000397
Sparse sharing,100,2000,0.001,False,0.252844,41600
Sparse w/ Quicksort,100,2000,0.001,False,9.466967,23136307
Dense sharing,100,3000,0.001,False,5.494257,16800727
