Algorithm,Nb. rows,Nb. columns,Density,Memory overflow,Runtime,Communication cost
Dense sharing,10,100,0.001,False,0.037688,56620
Dense,10,100,0.001,False,0.150842,280333
Sparse sharing,10,100,0.001,False,0.002537,208
Sparse w/ Quicksort,10,100,0.001,False,0.002908,346
Dense sharing,100,100,0.001,False,0.293126,560650
Dense,100,100,0.001,False,0.374117,280335
Sparse sharing,100,100,0.001,False,0.00964,2080
Sparse w/ Quicksort,100,100,0.001,False,0.219225,139968
Dense sharing,1000,100,0.001,False,1.869785,5600674
Dense,1000,100,0.001,False,2.596593,280317
Sparse sharing,1000,100,0.001,False,0.088145,20800
Sparse w/ Quicksort,1000,100,0.001,False,1.58588,3833396
Dense sharing,10,200,0.001,False,0.046912,112614
Dense,10,200,0.001,False,0.361135,1120314
Sparse sharing,10,200,0.001,False,0.002729,416
Sparse w/ Quicksort,10,200,0.001,False,0.04657,17624
Dense sharing,100,200,0.001,False,0.359078,1120639
Dense,100,200,0.001,False,0.906373,1120337
Sparse sharing,100,200,0.001,False,0.017766,4160
Sparse w/ Quicksort,100,200,0.001,False,0.34309,432725
Dense sharing,1000,200,0.001,False,3.822596,11200691
Dense,1000,200,0.001,False,10.292109,1120301
Sparse sharing,1000,200,0.001,False,0.174683,41600
Sparse w/ Quicksort,1000,200,0.001,False,3.143929,8413452
Dense sharing,10,300,0.001,False,0.07519,168619
Dense,10,300,0.001,False,0.749316,2520311
Sparse sharing,10,300,0.001,False,0.005511,624
Sparse w/ Quicksort,10,300,0.001,False,0.071999,32630
Dense sharing,100,300,0.001,False,0.568351,1680639
Dense,100,300,0.001,False,2.156091,2520328
Sparse sharing,100,300,0.001,False,0.025328,6240
Sparse w/ Quicksort,100,300,0.001,False,0.61169,1269699
Dense sharing,1000,300,0.001,False,5.751286,16800606
Dense,1000,300,0.001,False,25.213799,2520299
Sparse sharing,1000,300,0.001,False,0.208845,62400
Sparse w/ Quicksort,1000,300,0.001,False,6.4709,14191365
Dense sharing,10,400,0.001,False,0.097448,224603
Dense,10,400,0.001,False,1.492272,4480341
Sparse sharing,10,400,0.001,False,0.009481,832
Sparse w/ Quicksort,10,400,0.001,False,0.092067,40759
Dense sharing,100,400,0.001,False,0.760946,2240659
Dense,100,400,0.001,False,4.118728,4480344
Sparse sharing,100,400,0.001,False,0.041807,8320
Sparse w/ Quicksort,100,400,0.001,False,0.630348,1136422
Dense sharing,1000,400,0.001,False,7.324211,22400798
Dense,1000,400,0.001,False,49.910646,4480263
Sparse sharing,1000,400,0.001,False,0.271453,83200
Sparse w/ Quicksort,1000,400,0.001,False,9.493403,25057790
Dense sharing,10,500,0.001,False,0.11426,280626
Dense,10,500,0.001,False,2.143077,7000333
Sparse sharing,10,500,0.001,False,0.01131,1040
Sparse w/ Quicksort,10,500,0.001,False,0.13154,52565
Dense sharing,100,500,0.001,False,0.915482,2800623
Dense,100,500,0.001,False,5.96067,7000317
Sparse sharing,100,500,0.001,False,0.04555,10400
Sparse w/ Quicksort,100,500,0.001,False,1.04057,1643595
Dense sharing,1000,500,0.001,False,9.392605,28000553
Dense,1000,500,0.001,False,72.330459,7000259
Sparse sharing,1000,500,0.001,False,0.363113,104000
Sparse w/ Quicksort,1000,500,0.001,False,11.69666,31674013
Dense sharing,10,600,0.001,False,0.129646,336626
Dense,10,600,0.001,False,2.866349,10080188
Sparse sharing,10,600,0.001,False,0.015869,1248
Sparse w/ Quicksort,10,600,0.001,False,0.140847,108061
Dense sharing,100,600,0.001,False,1.162416,3360643
Dense,100,600,0.001,False,9.113575,10080292
Sparse sharing,100,600,0.001,False,0.062578,12480
Sparse w/ Quicksort,100,600,0.001,False,1.206738,2603026
Dense sharing,1000,600,0.001,False,11.437507,33600311
Dense,1000,600,0.001,False,102.258009,10080347
Sparse sharing,1000,600,0.001,False,0.407063,124800
Sparse w/ Quicksort,1000,600,0.001,False,17.157853,44506866
Dense sharing,10,700,0.001,False,0.151783,392627
Dense,10,700,0.001,False,4.172313,13720303
Sparse sharing,10,700,0.001,False,0.021401,1456
Sparse w/ Quicksort,10,700,0.001,False,0.584765,127222
Dense sharing,100,700,0.001,False,1.333861,3920644
Dense,100,700,0.001,False,15.075622,13720281
Sparse sharing,100,700,0.001,False,0.078503,14560
Sparse w/ Quicksort,100,700,0.001,False,1.542813,3500672
Dense sharing,1000,700,0.001,False,14.309428,39200566
Dense,1000,700,0.001,False,161.275904,13720344
Sparse sharing,1000,700,0.001,False,0.439848,145600
Sparse w/ Quicksort,1000,700,0.001,False,23.712083,55073838
Dense sharing,10,800,0.001,False,0.179353,448610
Dense,10,800,0.001,False,5.824817,17920326
Sparse sharing,10,800,0.001,False,0.020231,1664
Sparse w/ Quicksort,10,800,0.001,False,0.382012,298635
Dense sharing,100,800,0.001,False,1.703467,4480593
Dense,100,800,0.001,False,23.79735,17920360
Sparse sharing,100,800,0.001,False,0.101198,16640
Sparse w/ Quicksort,100,800,0.001,False,2.525538,5248366
Dense sharing,1000,800,0.001,False,17.701496,44800687
Dense,1000,800,0.001,False,174.945561,17920408
Sparse sharing,1000,800,0.001,False,0.481971,166400
Sparse w/ Quicksort,1000,800,0.001,False,26.479079,67489424
Dense sharing,10,900,0.001,False,0.211973,504621
Dense,10,900,0.001,False,8.291473,22680382
Sparse sharing,10,900,0.001,False,0.04611,1872
Sparse w/ Quicksort,10,900,0.001,False,0.336481,334992
Dense sharing,100,900,0.001,False,1.797241,5040631
Dense,100,900,0.001,False,27.291179,22680213
Sparse sharing,100,900,0.001,False,0.105757,18720
Sparse w/ Quicksort,100,900,0.001,False,2.006229,5105354
Dense sharing,1000,900,0.001,False,16.88603,50400827
Dense,1000,900,0.001,False,224.282631,22680383
Sparse sharing,1000,900,0.001,False,0.55263,187200
