Timestamp,Initial seed,Algorithm,Nb. rows,Nb. columns,Density,Runtime,Communication cost
2023-08-24 10:56:26.719310,"[1486341340, 1486341340, 1486341340]",Dense sharing,100,1,0.001,0.149209,283441
2023-08-24 10:56:26.870166,"[1486341340, 1486341340, 1486341340]",Dense,100,1,0.001,0.015106,4679
2023-08-24 10:56:27.799476,"[1486341340, 1486341340, 1486341340]",Sparse sharing,100,1,0.0001,0.001909,572
2023-08-24 10:56:27.802081,"[1486341340, 1486341340, 1486341340]",Sparse,100,1,0.0001,0.000173,0
2023-08-24 10:56:28.635383,"[1486341340, 1486341340, 1486341340]",Sparse sharing,100,1,0.001,0.010965,5398
2023-08-24 10:56:28.647348,"[1486341340, 1486341340, 1486341340]",Sparse,100,1,0.001,0.00017,0
2023-08-24 10:56:29.561578,"[1486341340, 1486341340, 1486341340]",Sparse sharing,100,1,0.005,0.03386,25400
2023-08-24 10:56:29.596317,"[1486341340, 1486341340, 1486341340]",Sparse,100,1,0.005,0.000211,0
2023-08-24 10:56:30.551443,"[1486341340, 1486341340, 1486341340]",Sparse sharing,100,1,0.01,0.061391,47206
2023-08-24 10:56:30.614663,"[1486341340, 1486341340, 1486341340]",Sparse,100,1,0.01,1.760673,1844215
2023-08-24 10:56:33.222418,"[1228962651, 1228962651, 1228962651]",Dense sharing,300,1,0.001,0.906095,2529043
2023-08-24 10:56:34.129381,"[1228962651, 1228962651, 1228962651]",Dense,300,1,0.001,0.02719,13082
2023-08-24 10:56:35.090748,"[1228962651, 1228962651, 1228962651]",Sparse sharing,300,1,0.0001,0.011178,5652
2023-08-24 10:56:35.103842,"[1228962651, 1228962651, 1228962651]",Sparse,300,1,0.0001,0.000607,0
2023-08-24 10:56:35.962009,"[1228962651, 1228962651, 1228962651]",Sparse sharing,300,1,0.001,0.06948,53313
2023-08-24 10:56:36.033138,"[1228962651, 1228962651, 1228962651]",Sparse,300,1,0.001,0.000302,0
2023-08-24 10:56:37.059389,"[1228962651, 1228962651, 1228962651]",Sparse sharing,300,1,0.005,0.193759,215659
2023-08-24 10:56:37.254203,"[1228962651, 1228962651, 1228962651]",Sparse,300,1,0.005,7.782926,9328251
2023-08-24 10:56:45.933338,"[1228962651, 1228962651, 1228962651]",Sparse sharing,300,1,0.01,0.285735,369887
2023-08-24 10:56:46.219791,"[1228962651, 1228962651, 1228962651]",Sparse,300,1,0.01,17.850911,18582085
2023-08-24 10:57:04.969958,"[1363957683, 1363957683, 1363957683]",Dense sharing,500,1,0.001,2.335476,7014637
2023-08-24 10:57:07.306250,"[1363957683, 1363957683, 1363957683]",Dense,500,1,0.001,0.080396,21479
2023-08-24 10:57:08.407779,"[1363957683, 1363957683, 1363957683]",Sparse sharing,500,1,0.0001,0.023822,15696
2023-08-24 10:57:08.433281,"[1363957683, 1363957683, 1363957683]",Sparse,500,1,0.0001,0.001152,0
2023-08-24 10:57:09.424115,"[1363957683, 1363957683, 1363957683]",Sparse sharing,500,1,0.001,0.183448,140016
2023-08-24 10:57:09.610152,"[1363957683, 1363957683, 1363957683]",Sparse,500,1,0.001,0.000501,0
2023-08-24 10:57:10.599218,"[1363957683, 1363957683, 1363957683]",Sparse sharing,500,1,0.005,0.367359,535274
2023-08-24 10:57:10.967492,"[1363957683, 1363957683, 1363957683]",Sparse,500,1,0.005,26.029613,25743324
2023-08-24 10:57:37.974263,"[1363957683, 1363957683, 1363957683]",Sparse sharing,500,1,0.01,0.561341,930667
2023-08-24 10:57:38.536402,"[1363957683, 1363957683, 1363957683]",Sparse,500,1,0.01,53.022377,51455619
2023-08-24 10:58:32.850375,"[1246950452, 1246950452, 1246950452]",Dense sharing,700,1,0.001,5.009119,13740156
2023-08-24 10:58:37.861255,"[1246950452, 1246950452, 1246950452]",Dense,700,1,0.001,0.160064,29868
