Timestamp,Initial seed,Algorithm,Nb. rows,Nb. columns,Density,Runtime,Communication cost
2023-04-28 18:16:57.634326,"[1486341340, 1486341340, 1486341340]",MPyC shuffle,10,,,0.052248,16996
2023-04-28 18:16:58.316620,"[1486341340, 1486341340, 1486341340]",3PC shuffle,10,,,0.003969,2143
2023-04-28 18:16:58.959212,"[1228962651, 1228962651, 1228962651]",MPyC shuffle,30,,,0.170964,89466
2023-04-28 18:16:59.833206,"[1228962651, 1228962651, 1228962651]",3PC shuffle,30,,,0.003168,4102
2023-04-28 18:17:00.536795,"[1363957683, 1363957683, 1363957683]",MPyC shuffle,50,,,0.340001,189926
2023-04-28 18:17:01.556382,"[1363957683, 1363957683, 1363957683]",3PC shuffle,50,,,0.005026,6062
2023-04-28 18:17:02.203687,"[1246950452, 1246950452, 1246950452]",MPyC shuffle,70,,,0.503389,325414
2023-04-28 18:17:03.368691,"[1246950452, 1246950452, 1246950452]",3PC shuffle,70,,,0.005771,8021
2023-04-28 18:17:04.086389,"[2311075880, 2311075880, 2311075880]",MPyC shuffle,90,,,0.675566,476881
2023-04-28 18:17:05.398687,"[2311075880, 2311075880, 2311075880]",3PC shuffle,90,,,0.00612,9978
2023-04-28 18:17:06.105863,"[2345664438, 2345664438, 2345664438]",MPyC shuffle,100,,,0.796984,572364
2023-04-28 18:17:07.647251,"[2345664438, 2345664438, 2345664438]",3PC shuffle,100,,,0.006522,10960
2023-04-28 18:17:08.329384,"[80740328, 80740328, 80740328]",MPyC shuffle,300,,,3.274626,3573231
2023-04-28 18:17:12.374286,"[80740328, 80740328, 80740328]",3PC shuffle,300,,,0.007214,30566
2023-04-28 18:17:13.176595,"[1157103124, 1157103124, 1157103124]",MPyC shuffle,500,,,6.513247,8857125
2023-04-28 18:17:20.445140,"[1157103124, 1157103124, 1157103124]",3PC shuffle,500,,,0.010182,50147
2023-04-28 18:17:21.221167,"[607852865, 607852865, 607852865]",MPyC shuffle,700,,,10.811761,16505195
2023-04-28 18:17:32.754287,"[607852865, 607852865, 607852865]",3PC shuffle,700,,,0.01296,69752
2023-04-28 18:17:33.629480,"[2376171653, 2376171653, 2376171653]",MPyC shuffle,900,,,15.739289,26385247
2023-04-28 18:17:50.134290,"[2376171653, 2376171653, 2376171653]",3PC shuffle,900,,,0.015361,89355
2023-04-28 18:17:50.918274,"[1789899462, 1789899462, 1789899462]",MPyC shuffle,1000,,,18.325109,32155851
2023-04-28 18:18:10.000389,"[1789899462, 1789899462, 1789899462]",3PC shuffle,1000,,,0.016827,99140
2023-04-28 18:18:11.098900,"[3526080530, 3526080530, 3526080530]",MPyC shuffle,3000,,,103.595601,266516470
2023-04-28 18:19:55.682689,"[3526080530, 3526080530, 3526080530]",3PC shuffle,3000,,,0.046018,295140
2023-04-28 18:19:56.950336,"[3217693741, 3217693741, 3217693741]",MPyC shuffle,5000,,,235.491684,725568973
2023-04-28 18:23:53.719412,"[3217693741, 3217693741, 3217693741]",3PC shuffle,5000,,,0.072775,491147
2023-04-28 18:23:55.336906,"[2252540683, 2252540683, 2252540683]",MPyC shuffle,7000,,,415.796536,1409154351
2023-04-28 18:30:52.685953,"[2252540683, 2252540683, 2252540683]",3PC shuffle,7000,,,0.104472,687130
2023-04-28 18:30:54.569894,"[759296115, 759296115, 759296115]",MPyC shuffle,9000,,,629.351035,2316682362
2023-04-28 18:41:25.843074,"[759296115, 759296115, 759296115]",3PC shuffle,9000,,,0.132675,883088
2023-04-28 18:41:27.971406,"[838757935, 838757935, 838757935]",MPyC shuffle,10000,,,776.31396,2855297734
2023-04-28 18:54:26.466464,"[838757935, 838757935, 838757935]",3PC shuffle,10000,,,0.150039,981128
2023-04-28 19:54:32.556723,"[1473825940, 1473825940, 1473825940]",3PC shuffle,30000,,,0.460827,2941111
2023-04-28 19:54:40.494795,"[3397185744, 3397185744, 3397185744]",3PC shuffle,50000,,,0.808341,4901091
2023-04-28 19:54:51.870973,"[3833472447, 3833472447, 3833472447]",3PC shuffle,70000,,,1.132372,6861059
2023-04-28 19:55:06.318470,"[922801664, 922801664, 922801664]",3PC shuffle,90000,,,1.492506,8821206
