Timestamp,Initial seed,Algorithm,Nb. rows,Nb. columns,Density,Runtime,Communication cost
2023-09-25 09:21:48.525748,"[1486341340, 1486341340, 1486341340]",Dense sharing,10,1,0.0001,0.002041,1379
2023-09-25 09:21:48.528280,"[1486341340, 1486341340, 1486341340]",Dense,10,1,0.0001,0.004882,385
2023-09-25 09:21:58.157906,"[1486341340, 1486341340, 1486341340]",Sparse sharing,10,1,0.0001,0.00028,0
2023-09-25 09:21:58.158649,"[1486341340, 1486341340, 1486341340]",Sparse,10,1,0.0001,0.003337,30
2023-09-25 09:22:06.750130,"[1228962651, 1228962651, 1228962651]",Dense sharing,10,1,0.001,0.004975,1377
2023-09-25 09:22:06.766814,"[1228962651, 1228962651, 1228962651]",Dense,10,1,0.001,0.007219,384
2023-09-25 09:22:14.903390,"[1228962651, 1228962651, 1228962651]",Sparse sharing,10,1,0.001,0.000216,0
2023-09-25 09:22:14.904009,"[1228962651, 1228962651, 1228962651]",Sparse,10,1,0.001,0.000535,30
2023-09-25 09:22:24.158606,"[1363957683, 1363957683, 1363957683]",Dense sharing,10,1,0.01,0.002136,1378
2023-09-25 09:22:24.163989,"[1363957683, 1363957683, 1363957683]",Dense,10,1,0.01,0.005011,386
2023-09-25 09:22:34.518537,"[1363957683, 1363957683, 1363957683]",Sparse sharing,10,1,0.01,0.000255,0
2023-09-25 09:22:34.520304,"[1363957683, 1363957683, 1363957683]",Sparse,10,1,0.01,0.001286,30
2023-09-25 09:22:44.948508,"[1246950452, 1246950452, 1246950452]",Dense sharing,30,1,0.0001,0.002934,2853
2023-09-25 09:22:44.954102,"[1246950452, 1246950452, 1246950452]",Dense,30,1,0.0001,0.024481,384
2023-09-25 09:22:57.910892,"[1246950452, 1246950452, 1246950452]",Sparse sharing,30,1,0.0001,0.000929,0
2023-09-25 09:22:57.914467,"[1246950452, 1246950452, 1246950452]",Sparse,30,1,0.0001,0.00206,30
2023-09-25 09:23:06.619537,"[2311075880, 2311075880, 2311075880]",Dense sharing,30,1,0.001,0.002946,2851
2023-09-25 09:23:06.627566,"[2311075880, 2311075880, 2311075880]",Dense,30,1,0.001,0.005339,384
2023-09-25 09:23:17.086231,"[2311075880, 2311075880, 2311075880]",Sparse sharing,30,1,0.001,0.000248,0
2023-09-25 09:23:17.086924,"[2311075880, 2311075880, 2311075880]",Sparse,30,1,0.001,0.001581,30
2023-09-25 09:23:24.699037,"[2345664438, 2345664438, 2345664438]",Dense sharing,30,1,0.01,0.003976,2861
2023-09-25 09:23:24.705942,"[2345664438, 2345664438, 2345664438]",Dense,30,1,0.01,0.004132,385
2023-09-25 09:23:31.745082,"[2345664438, 2345664438, 2345664438]",Sparse sharing,30,1,0.01,0.000149,0
2023-09-25 09:23:31.748136,"[2345664438, 2345664438, 2345664438]",Sparse,30,1,0.01,0.001077,30
2023-09-25 09:23:38.909978,"[80740328, 80740328, 80740328]",Dense sharing,50,1,0.0001,0.003435,4338
2023-09-25 09:23:38.918906,"[80740328, 80740328, 80740328]",Dense,50,1,0.0001,0.004896,385
2023-09-25 09:23:46.779121,"[80740328, 80740328, 80740328]",Sparse sharing,50,1,0.0001,0.000254,0
2023-09-25 09:23:46.780822,"[80740328, 80740328, 80740328]",Sparse,50,1,0.0001,0.00152,30
2023-09-25 09:23:57.098052,"[1157103124, 1157103124, 1157103124]",Dense sharing,50,1,0.001,0.004929,4339
2023-09-25 09:23:57.122963,"[1157103124, 1157103124, 1157103124]",Dense,50,1,0.001,0.021246,385
2023-09-25 09:24:06.316675,"[1157103124, 1157103124, 1157103124]",Sparse sharing,50,1,0.001,0.000982,0
2023-09-25 09:24:06.319063,"[1157103124, 1157103124, 1157103124]",Sparse,50,1,0.001,0.002907,30
2023-09-25 09:24:15.269942,"[607852865, 607852865, 607852865]",Dense sharing,50,1,0.01,0.003587,4333
2023-09-25 09:24:15.276275,"[607852865, 607852865, 607852865]",Dense,50,1,0.01,0.006202,386
2023-09-25 09:24:23.320307,"[607852865, 607852865, 607852865]",Sparse sharing,50,1,0.01,0.000134,0
2023-09-25 09:24:23.320793,"[607852865, 607852865, 607852865]",Sparse,50,1,0.01,0.002658,30
2023-09-25 09:24:32.864726,"[2376171653, 2376171653, 2376171653]",Dense sharing,70,1,0.0001,0.004052,5816
2023-09-25 09:24:32.869314,"[2376171653, 2376171653, 2376171653]",Dense,70,1,0.0001,0.005024,385
2023-09-25 09:24:41.347787,"[2376171653, 2376171653, 2376171653]",Sparse sharing,70,1,0.0001,0.000159,0
2023-09-25 09:24:41.348498,"[2376171653, 2376171653, 2376171653]",Sparse,70,1,0.0001,0.000654,30
2023-09-25 09:24:49.542024,"[1789899462, 1789899462, 1789899462]",Dense sharing,70,1,0.001,0.004725,5819
2023-09-25 09:24:49.552272,"[1789899462, 1789899462, 1789899462]",Dense,70,1,0.001,0.016356,384
2023-09-25 09:24:57.881994,"[1789899462, 1789899462, 1789899462]",Sparse sharing,70,1,0.001,0.000233,0
2023-09-25 09:24:57.884667,"[1789899462, 1789899462, 1789899462]",Sparse,70,1,0.001,0.000449,30
2023-09-25 09:25:04.949410,"[3526080530, 3526080530, 3526080530]",Dense sharing,70,1,0.01,0.004355,5803
2023-09-25 09:25:04.954424,"[3526080530, 3526080530, 3526080530]",Dense,70,1,0.01,0.013654,2066
2023-09-25 09:25:13.604415,"[3526080530, 3526080530, 3526080530]",Sparse sharing,70,1,0.01,0.002554,1308
2023-09-25 09:25:13.617978,"[3526080530, 3526080530, 3526080530]",Sparse,70,1,0.01,1.08738,75812
2023-09-25 09:25:24.633938,"[3217693741, 3217693741, 3217693741]",Dense sharing,90,1,0.0001,0.008892,7300
2023-09-25 09:25:24.645624,"[3217693741, 3217693741, 3217693741]",Dense,90,1,0.0001,0.007861,384
2023-09-25 09:25:38.731389,"[3217693741, 3217693741, 3217693741]",Sparse sharing,90,1,0.0001,0.000252,0
2023-09-25 09:25:38.733632,"[3217693741, 3217693741, 3217693741]",Sparse,90,1,0.0001,0.002029,30
2023-09-25 09:25:50.306061,"[2252540683, 2252540683, 2252540683]",Dense sharing,90,1,0.001,0.004556,7288
2023-09-25 09:25:50.315782,"[2252540683, 2252540683, 2252540683]",Dense,90,1,0.001,0.010924,384
2023-09-25 09:25:57.109825,"[2252540683, 2252540683, 2252540683]",Sparse sharing,90,1,0.001,0.000296,0
2023-09-25 09:25:57.110861,"[2252540683, 2252540683, 2252540683]",Sparse,90,1,0.001,0.013379,30
